id_wikidata	materia
Q1307214	Ciudadanía
Q131201	Ciudadanía
Q13416790	Ciudadanía
Q15141478	Ciudadanía
Q1517200	Ciudadanía
Q1522115	Ciudadanía
Q16110	Ciudadanía
Q1641089	Ciudadanía
Q16482934	Ciudadanía
Q16577084	Ciudadanía
Q170075	Ciudadanía
Q1710033	Ciudadanía
Q1717246	Ciudadanía
Q1765801	Ciudadanía
Q180388	Ciudadanía
Q183039	Ciudadanía
Q184708	Ciudadanía
Q1851928	Ciudadanía
Q187	Ciudadanía
Q188843	Ciudadanía
Q189066	Ciudadanía
Q190656	Ciudadanía
Q198	Ciudadanía
Q20823810	Ciudadanía
Q21192987	Ciudadanía
Q21193084	Ciudadanía
Q212114	Ciudadanía
Q212141	Ciudadanía
Q220563	Ciudadanía
Q223569	Ciudadanía
Q2426831	Ciudadanía
Q244752	Ciudadanía
Q245992	Ciudadanía
Q24940421	Ciudadanía
Q24962887	Ciudadanía
Q262525	Ciudadanía
Q2717283	Ciudadanía
Q2855609	Ciudadanía
Q29581660	Ciudadanía
Q2979	Ciudadanía
Q3487980	Ciudadanía
Q35798	Ciudadanía
Q3624391	Ciudadanía
Q363404	Ciudadanía
Q3679730	Ciudadanía
Q3687301	Ciudadanía
Q3687318	Ciudadanía
Q3709055	Ciudadanía
Q3709090	Ciudadanía
Q3709150	Ciudadanía
Q3712790	Ciudadanía
Q3714733	Ciudadanía
Q37470	Ciudadanía
Q3773971	Ciudadanía
Q3885112	Ciudadanía
Q3885626	Ciudadanía
Q3968723	Ciudadanía
Q41550	Ciudadanía
Q42970	Ciudadanía
Q452421	Ciudadanía
Q454	Ciudadanía
Q47423	Ciudadanía
Q484652	Ciudadanía
Q48800793	Ciudadanía
Q4916	Ciudadanía
Q4951	Ciudadanía
Q497743	Ciudadanía
Q536814	Ciudadanía
Q60837604	Ciudadanía
Q6241	Ciudadanía
Q6303109	Ciudadanía
Q669701	Ciudadanía
Q7164	Ciudadanía
Q7174	Ciudadanía
Q7178	Ciudadanía
Q7181	Ciudadanía
Q7184	Ciudadanía
Q7275	Ciudadanía
Q740308	Ciudadanía
Q747074	Ciudadanía
Q748720	Ciudadanía
Q7649586	Ciudadanía
Q7801	Ciudadanía
Q7804	Ciudadanía
Q7809	Ciudadanía
Q7813	Ciudadanía
Q79896	Ciudadanía
Q79913	Ciudadanía
Q8425	Ciudadanía
Q8436	Ciudadanía
Q858700	Ciudadanía
Q861581	Ciudadanía
Q874405	Ciudadanía
Q8880	Ciudadanía
Q8886	Ciudadanía
Q8889	Ciudadanía
Q8896	Ciudadanía
Q954112	Ciudadanía
Q955276	Ciudadanía
Q977345	Ciudadanía
Q981005	Ciudadanía
Q103639	Derecho y economía
Q1053947	Derecho y economía
Q1054168	Derecho y economía
Q1063076	Derecho y economía
Q107087895	Derecho y economía
Q1123840	Derecho y economía
Q1127188	Derecho y economía
Q1130200	Derecho y economía
Q1142948	Derecho y economía
Q11691	Derecho y economía
Q1186690	Derecho y economía
Q129238	Derecho y economía
Q131524	Derecho y economía
Q1367590	Derecho y economía
Q1415187	Derecho y economía
Q1468865	Derecho y economía
Q1479995	Derecho y economía
Q154954	Derecho y economía
Q155076	Derecho y economía
Q159810	Derecho y economía
Q160151	Derecho y economía
Q163740	Derecho y economía
Q16605989	Derecho y economía
Q166656	Derecho y economía
Q178476	Derecho y economía
Q178803	Derecho y economía
Q179073	Derecho y economía
Q180107	Derecho y economía
Q182076	Derecho y economía
Q18288972	Derecho y economía
Q182985	Derecho y economía
Q183384	Derecho y economía
Q188485	Derecho y economía
Q19013759	Derecho y economía
Q190258	Derecho y economía
Q192270	Derecho y economía
Q192311	Derecho y economía
Q192796	Derecho y economía
Q192886	Derecho y economía
Q1968864	Derecho y economía
Q200435	Derecho y economía
Q2029841	Derecho y economía
Q205665	Derecho y economía
Q210947	Derecho y economía
Q216200	Derecho y economía
Q22687	Derecho y economía
Q22688	Derecho y economía
Q237789	Derecho y economía
Q2386606	Derecho y economía
Q2424752	Derecho y economía
Q2476047	Derecho y economía
Q25399103	Derecho y economía
Q2542563	Derecho y economía
Q2585623	Derecho y economía
Q2641256	Derecho y economía
Q265236	Derecho y economía
Q2674302	Derecho y economía
Q271855	Derecho y economía
Q3030513	Derecho y economía
Q305186	Derecho y economía
Q30898828	Derecho y economía
Q319622	Derecho y economía
Q32098	Derecho y economía
Q3242046	Derecho y economía
Q328293	Derecho y economía
Q35865	Derecho y economía
Q3614420	Derecho y economía
Q3625580	Derecho y economía
Q3629172	Derecho y economía
Q3712200	Derecho y economía
Q3726248	Derecho y economía
Q3747503	Derecho y economía
Q3747514	Derecho y economía
Q3760900	Derecho y economía
Q37654	Derecho y economía
Q3797511	Derecho y economía
Q3797566	Derecho y economía
Q3802136	Derecho y economía
Q3829739	Derecho y economía
Q3829748	Derecho y economía
Q3831756	Derecho y economía
Q3832507	Derecho y economía
Q384014	Derecho y economía
Q3858501	Derecho y economía
Q3927762	Derecho y economía
Q3965152	Derecho y economía
Q3968617	Derecho y economía
Q3968632	Derecho y economía
Q3984773	Derecho y economía
Q41171	Derecho y economía
Q41207	Derecho y economía
Q42008	Derecho y economía
Q42138	Derecho y economía
Q42876	Derecho y economía
Q4290	Derecho y economía
Q43109	Derecho y economía
Q43637	Derecho y economía
Q43702	Derecho y economía
Q4394526	Derecho y economía
Q4530482	Derecho y economía
Q471855	Derecho y economía
Q47359	Derecho y economía
Q48204	Derecho y economía
Q484847	Derecho y economía
Q520878	Derecho y economía
Q52834234	Derecho y economía
Q555118	Derecho y economía
Q555911	Derecho y economía
Q582577	Derecho y economía
Q584804	Derecho y economía
Q598188	Derecho y economía
Q6093518	Derecho y economía
Q6216	Derecho y economía
Q633872	Derecho y economía
Q636109	Derecho y economía
Q653953	Derecho y economía
Q656365	Derecho y economía
Q66100	Derecho y economía
Q685744	Derecho y economía
Q6881511	Derecho y economía
Q7184037	Derecho y economía
Q719967	Derecho y economía
Q7243161	Derecho y economía
Q7257739	Derecho y economía
Q7269	Derecho y economía
Q7270	Derecho y economía
Q7278	Derecho y economía
Q739302	Derecho y economía
Q746515	Derecho y economía
Q7748	Derecho y economía
Q7755	Derecho y economía
Q7825	Derecho y economía
Q783794	Derecho y economía
Q796897	Derecho y economía
Q806176	Derecho y economía
Q81329802	Derecho y economía
Q8134	Derecho y economía
Q841424	Derecho y economía
Q842112	Derecho y economía
Q8458	Derecho y economía
Q846882	Derecho y economía
Q878070	Derecho y economía
Q8901	Derecho y economía
Q9317	Derecho y economía
Q93288	Derecho y economía
Q9381	Derecho y economía
Q97284968	Derecho y economía
Q102585	Filosofía
Q10261	Filosofía
Q102851	Filosofía
Q1061693	Filosofía
Q107342	Filosofía
Q1191320	Filosofía
Q123397	Filosofía
Q1248980	Filosofía
Q125249	Filosofía
Q125551	Filosofía
Q126692	Filosofía
Q12718	Filosofía
Q127398	Filosofía
Q1290	Filosofía
Q131015	Filosofía
Q131117	Filosofía
Q131805	Filosofía
Q132157	Filosofía
Q134189	Filosofía
Q1399	Filosofía
Q140694	Filosofía
Q1430	Filosofía
